species,species_refID,datetime,temp,humid,lengthAudio,log_maxAmp,log_rangeAmp,log_iqrAmp,log_crestFactor,log_power,log_rms,sqrt_domfreq,bioacousticIndex,bioacousticIndex_2,bioacousticIndex_3,bioacousticIndex_4,log_amplitudeIndex,spectralEntropy,temporalEntropy,acousticEntropy,harmonics.1,harmonics.2,harmonics.3,harmonics.4,harmonics.5,harmonics.6,harmonics.7,harmonics.8,harmonics.9,harmonics.10,log_gamAmp,log_maxAmp_g,log_rangeAmp_g,log_iqrAmp_g,log_crestFactor_g,log_power_g,log_rms_g,log_fundFreq,sqrt_domfreq_g,bioacousticIndex_g,bioacousticIndex_g_2,bioacousticIndex_g_3,bioacousticIndex_g_4,log_amplitudeIndex_g,spectralEntropy_g,temporalEntropy_g,acousticEntropy_g,harmonics_g.1,harmonics_g.2,harmonics_g.3,harmonics_g.4,harmonics_g.5,harmonics_g.6,harmonics_g.7,harmonics_g.8,harmonics_g.9,harmonics_g.10
Aphis fabae,http://purl.obolibrary.org/obo/NCBITaxon_191316,05/02/2020 17:57,28,34,130,-9.244102384,-9.244102384,-9.732882168,0.737625298,-19.96345536,-9.981727682,0.391561378,2.321725861,2.30386648,0.723276827,9.373930618,-18.96261637,0.786658618,0.140847989,0.110799284,0.153320313,0.216796875,0.279296875,0.342773438,0.641601563,1.080078125,0.70703125,0.518554688,2.189453125,0.579101563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aphis fabae,http://purl.obolibrary.org/obo/NCBITaxon_191316,05/02/2020 18:05,28,34,4380,-8.35539236,-7.742158173,-9.130158823,1.101968837,-18.91472239,-9.457361196,0.378886114,2.965136532,2.616157153,0.28627045,5.82564222,-15.84272918,0.8468403,0.705499964,0.597445802,0.01171875,0.021484375,0.143554688,0.100585938,0.123046875,0.005859375,0.002929688,0.233398438,0.265625,0.221679688,-3.559546834,0.00019033,-8.003508799,-9.688048978,1.306795028,-19.74709083,-9.873545416,-2.079441542,0.378886114,2.461071856,2.111835382,0.691936799,5.824485486,-16.73767759,0.87654722,0.65757708,0.576397361,0.143554688,0.100585938,0.123046875,0.233398438,0.265625,0.221679688,0.254882813,0.11328125,0.125976563,0.1171875
Aphis fabae,http://purl.obolibrary.org/obo/NCBITaxon_191316,05/02/2020 18:12,28,34,688,-8.171596265,-7.704060462,-9.756161002,0.951503265,-18.24619906,-9.12309953,0.37107319,2.826128029,2.81054155,0.869302367,4.781408583,-19.5616649,0.786034152,0.180337359,0.141751323,0.022460938,0.008789063,0.137695313,0.056640625,0.1171875,0.204101563,0.220703125,0.326171875,0.291015625,0.254882813,-2.929512427,7.39E-05,-8.916467616,-11.04690201,1.415958176,-21.85704976,-10.92852488,NA,0.367104379,2.019897787,1.992947763,0.476424568,5.020371562,-23.72612073,0.935253214,0.14315693,0.133887978,0.134765625,0.09375,0.116210938,0.202148438,0.163085938,0.219726563,0.326171875,0.291015625,1.459960938,0.614257813
Aphis fabae,http://purl.obolibrary.org/obo/NCBITaxon_191316,05/02/2020 18:16,28,34,418,-8.800412121,-8.118409752,-8.610021662,0.510069463,-18.62096317,-9.310481585,0.32923918,3.287248662,2.428626142,0.852410914,4.960675732,-20.41444256,0.808411204,0.169468636,0.137000344,0.015625,0.108398438,0.061523438,0.252929688,0.499023438,0.440429688,2.006835938,0.751953125,2.313476563,0.78515625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aphis fabae,http://purl.obolibrary.org/obo/NCBITaxon_191316,05/02/2020 19:04,28,34,2302,-8.040868209,-7.438947673,-10.65413075,1.199904492,-18.4815454,-9.2407727,0.23799291,3.102456854,2.660719823,0.608923799,4.427152374,-19.58248901,0.803302307,0.317273757,0.254866741,0.008789063,0.012695313,0.017578125,0.021484375,0.026367188,0.046875,0.041992188,0.03125,0.056640625,0.038085938,-2.819536962,0.000123368,-8.393103744,-11.68939995,1.687897865,-21.37648033,-10.68824017,-2.047692843,0.349385621,3.524867485,3.436075107,1.07957529,4.420665164,-22.86346495,0.920797238,0.217648734,0.200410353,0.122070313,0.13671875,0.131835938,0.256835938,0.11328125,0.393554688,0.108398438,0.3984375,0.103515625,0.403320313
Aphis fabae,http://purl.obolibrary.org/obo/NCBITaxon_191316,05/02/2020 19:43,27.3,34,613,-7.966883447,-7.373970494,-8.508807296,0.748602204,-17.4309713,-8.715485651,0.3365728,2.972189348,2.955155757,0.65745539,6.010819701,-19.00903949,0.759200761,0.233739115,0.177454914,0.009765625,0.028320313,0.11328125,0.049804688,0.133789063,0.216796875,0.249023438,0.068359375,0.358398438,0.083007813,-2.67368211,8.75E-05,-8.722273155,-10.13201987,1.032311549,-20.75204483,-10.37602242,-2.140066163,0.333658695,2.065454771,2.061806298,0.870517172,7.12161483,-23.38366553,0.905702008,0.160545153,0.145406067,0.111328125,0.133789063,0.215820313,0.249023438,0.356445313,0.08984375,0.073242188,0.48046875,0.3984375,0.522460938
Aphis fabae,http://purl.obolibrary.org/obo/NCBITaxon_191316,05/02/2020 20:01,27.3,33.5,367,-7.950158702,-7.405003203,-8.433783185,0.824282586,-17.54888258,-8.774441288,0.25,2.67585404,2.64844443,0.847743489,3.444384523,-20.35487946,0.741984502,0.125393992,0.093040399,0.018554688,0.0625,0.107421875,0.178710938,0.15234375,0.21875,0.263671875,0.896484375,2.748046875,2.681640625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aphis fabae,http://purl.obolibrary.org/obo/NCBITaxon_191316,05/02/2020 20:36,27.3,33.5,403,-8.9680123,-8.715694898,-9.617052281,0.963034953,-19.86209451,-9.931047253,0.248039185,2.354855698,2.33227101,0.548970164,4.9347356,-18.84156728,0.874227814,0.221769669,0.193877213,0.006835938,0.061523438,0.138671875,0.252929688,0.392578125,0.196289063,0.30078125,0.51953125,0.767578125,1.51171875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aphis fabae,http://purl.obolibrary.org/obo/NCBITaxon_191316,05/02/2020 22:03,26.6,33.1,875,-8.320402946,-7.730895111,-8.480883073,0.657415738,-17.95563737,-8.977818683,0.490137098,3.14987124,3.143772826,0.588517065,4.603412161,-18.76795291,0.776554643,0.26360798,0.204706001,0.0078125,0.240234375,0.118164063,0.041015625,0.134765625,0.353515625,0.59765625,0.068359375,0.086914063,0.059570313,-3.077817239,0.000113676,-8.602369191,-10.25273712,1.246976364,-20.65826894,-10.32913447,-1.41706602,0.48913987,2.448940028,2.432455162,0.912681664,4.644568554,-24.27353525,0.899974933,0.196661231,0.176990178,0.239257813,0.116210938,0.13671875,0.352539063,0.4765625,0.596679688,0.19140625,0.716796875,0.834960938,0.045898438
Aphis fabae,http://purl.obolibrary.org/obo/NCBITaxon_191316,05/02/2020 22:51,26.6,33.1,2783,-8.703381955,-8.096579664,-9.803994069,1.15901682,-19.72479755,-9.862398776,0.363092189,2.566831299,2.554165929,0.526818185,3.851666284,-19.8734177,0.871497611,0.513707905,0.447695212,0.00390625,0.012695313,0.0078125,0.131835938,0.0234375,0.032226563,0.123046875,0.140625,0.038085938,0.387695313,-3.749223128,0.000124491,-8.518336818,-10.58651347,1.56021716,-21.10298543,-10.55149271,-2.031432322,0.363092189,1.91666817,1.90412977,0.739735091,3.846149371,-22.84485998,0.925471058,0.451010737,0.417397384,0.131835938,0.124023438,0.140625,0.387695313,0.376953125,0.504882813,0.26953125,0.772460938,0.748046875,0.759765625
Aphis fabae,http://purl.obolibrary.org/obo/NCBITaxon_191316,06/02/2020 08:47,23.8,31.1,2132,-8.674140416,-8.222134366,-9.516417786,1.068321543,-19.48492392,-9.742461959,0.31868872,2.542750689,2.285534951,0.330170534,4.76558282,-18.33909053,0.87387939,0.462167137,0.403878335,0.006835938,0.1015625,0.217773438,0.119140625,0.202148438,0.228515625,0.331054688,0.295898438,0.3203125,0.126953125,-3.753579003,0.000124947,-8.39870509,-10.55767791,1.40562514,-20.78648411,-10.39324206,-2.238046572,0.466662016,2.02283575,1.786827696,0.554979363,4.714861261,-22.07530903,0.917244332,0.334595055,0.306905418,0.217773438,0.1015625,0.119140625,0.202148438,0.112304688,0.228515625,0.331054688,0.295898438,0.319335938,0.126953125
Aphis fabae,http://purl.obolibrary.org/obo/NCBITaxon_191316,06/02/2020 08:49,23.8,30.6,2626,-7.947025309,-7.584331693,-9.11607964,1.29009548,-18.47424158,-9.237120789,0.33946189,2.919759051,2.913805105,0.45628762,3.875331362,-18.96067818,0.840732488,0.470969648,0.395959484,0.0078125,0.002929688,0.016601563,0.115234375,0.08203125,0.198242188,0.181640625,0.212890625,0.091796875,0.280273438,-2.995379881,0.000120409,-8.364622402,-10.390489,1.147539844,-20.34431812,-10.17215906,-2.302585093,0.33946189,2.359492693,2.352868565,0.49431672,3.871982804,-22.6720481,0.909927511,0.42500826,0.386726709,0.115234375,0.08203125,0.198242188,0.181640625,0.212890625,0.091796875,0.280273438,0.100585938,0.107421875,0.263671875
Aphis fabae,http://purl.obolibrary.org/obo/NCBITaxon_191316,06/02/2020 09:51,24.5,30.1,1031,-8.553169367,-8.118535106,-9.151205645,1.057615733,-19.2215702,-9.6107851,0.317152861,2.980194804,2.640237949,0.447980247,5.373527147,-18.8579348,0.861303044,0.293900518,0.253137411,0.005859375,0.016601563,0.100585938,0.032226563,0.182617188,0.084960938,0.200195313,0.046875,0.26953125,0.309570313,-3.742375275,0.000119284,-8.468985014,-10.53636708,1.423162748,-20.91433891,-10.45716945,-2.339399066,0.317152861,2.376743189,2.040741184,0.753928493,5.373679779,-24.49936433,0.918217752,0.211465112,0.194171019,0.100585938,0.181640625,0.083007813,0.200195313,0.268554688,0.309570313,0.290039063,0.390625,0.352539063,0.559570313
